Total conc (ppm),K+,Na+,Ca2+,Mg2+,Cl-,CO32-,HCO3-,SO42-
10.00,0.85,1,1.3,2,1,1.05,0.37,0.8
20.00,0.88,1,1.3,2,1,1.05,0.37,0.8
30.00,0.9,1,1.3,2,1,1.05,0.37,0.8
40.00,0.91,1,1.3,1.98,1,1.05,0.37,0.8
50.00,0.91,1,1.3,1.95,1,1.05,0.37,0.78
60.00,0.92,1,1.3,1.94,1,1.05,0.37,0.78
70.00,0.93,1,1.3,1.92,1,1.05,0.37,0.78
80.00,0.93,1,1.3,1.91,1,1.05,0.37,0.78
90.00,0.94,1,1.3,1.9,1,1.05,0.37,0.78
100.00,0.94,1,1.3,1.88,1,1.05,0.37,0.77
200.00,0.94,1,1.28,1.81,1,1.03,0.37,0.75
300.00,0.95,1,1.25,1.78,1,1.02,0.37,0.74
400.00,0.95,1,1.22,1.75,1,1.01,0.37,0.73
500.00,0.95,1,1.2,1.71,1,1,0.37,0.72
600.00,0.95,1,1.18,1.69,1,1,0.37,0.71
700.00,0.95,1,1.15,1.68,1,0.98,0.37,0.7
800.00,0.95,1,1.14,1.65,1,0.98,0.37,0.7
900.00,0.95,1,1.12,1.64,1,0.97,0.37,0.7
1000.00,0.95,1,1.1,1.62,1,0.97,0.35,0.7
2000.00,0.95,1,1,1.54,1,0.88,0.34,0.65
3000.00,0.92,1,0.91,1.48,1,0.83,0.33,0.61
4000.00,0.91,1,0.86,1.42,1,0.79,0.31,0.6
5000.00,0.9,1,0.84,1.39,1,0.74,0.31,0.58
6000.00,0.9,1,0.82,1.37,1,0.7,0.3,0.56
7000.00,0.9,1,0.8,1.34,1,0.68,0.3,0.55
8000.00,0.9,1,0.8,1.31,1,0.65,0.3,0.54
9000.00,0.9,1,0.8,1.3,1,0.64,0.3,0.54
10000.00,0.9,1,0.8,1.28,1,0.62,0.3,0.52
20000.00,0.9,1,0.81,1.15,1,0.55,0.28,0.48
30000.00,0.94,1,0.83,1.08,1,0.5,0.25,0.45
40000.00,0.98,1,0.83,1,1,0.45,0.24,0.41
50000.00,1,1,0.8,0.93,1,0.41,0.23,0.4
60000.00,1.08,1,0.78,0.85,1,0.38,0.22,0.38
70000.00,1.14,1,0.76,0.8,1,0.32,0.21,0.35
80000.00,1.2,1,0.75,0.7,1,0.28,0.21,0.32
90000.00,1.25,1,0.72,0.64,1,0.25,0.2,0.3
100000.00,1.35,1,0.69,0.5,1,0.2,0.2,0.29
200000.00,,1,0.38,-0.5,1,,,
300000.00,,1,-0.2,,1,,,
